task_id,result_return_code,model_namee
487,0,codegeex4-all-9b
488,1,codegeex4-all-9b
490,1,codegeex4-all-9b
491,1,codegeex4-all-9b
492,0,codegeex4-all-9b
493,1,codegeex4-all-9b
494,0,codegeex4-all-9b
495,0,codegeex4-all-9b
496,0,codegeex4-all-9b
498,0,codegeex4-all-9b
499,1,codegeex4-all-9b
500,0,codegeex4-all-9b
501,0,codegeex4-all-9b
505,0,codegeex4-all-9b
506,0,codegeex4-all-9b
507,0,codegeex4-all-9b
509,0,codegeex4-all-9b
510,0,codegeex4-all-9b
511,0,codegeex4-all-9b
512,0,codegeex4-all-9b
513,0,codegeex4-all-9b
514,0,codegeex4-all-9b
515,0,codegeex4-all-9b
516,0,codegeex4-all-9b
517,0,codegeex4-all-9b
518,0,codegeex4-all-9b
519,0,codegeex4-all-9b
520,0,codegeex4-all-9b
521,1,codegeex4-all-9b
522,0,codegeex4-all-9b
523,0,codegeex4-all-9b
524,0,codegeex4-all-9b
525,0,codegeex4-all-9b
526,0,codegeex4-all-9b
527,0,codegeex4-all-9b
546,0,codegeex4-all-9b
547,0,codegeex4-all-9b
548,0,codegeex4-all-9b
549,0,codegeex4-all-9b
550,1,codegeex4-all-9b
551,0,codegeex4-all-9b
552,0,codegeex4-all-9b
555,0,codegeex4-all-9b
557,0,codegeex4-all-9b
558,0,codegeex4-all-9b
87,1,codegeex4-all-9b
88,1,codegeex4-all-9b
89,0,codegeex4-all-9b
92,0,codegeex4-all-9b
93,0,codegeex4-all-9b
95,0,codegeex4-all-9b
96,1,codegeex4-all-9b
97,0,codegeex4-all-9b
99,0,codegeex4-all-9b
100,1,codegeex4-all-9b
101,1,codegeex4-all-9b
103,1,codegeex4-all-9b
106,1,codegeex4-all-9b
107,0,codegeex4-all-9b
108,1,codegeex4-all-9b
109,0,codegeex4-all-9b
110,0,codegeex4-all-9b
112,1,codegeex4-all-9b
114,1,codegeex4-all-9b
115,0,codegeex4-all-9b
116,1,codegeex4-all-9b
117,1,codegeex4-all-9b
118,1,codegeex4-all-9b
120,1,codegeex4-all-9b
121,0,codegeex4-all-9b
122,1,codegeex4-all-9b
123,1,codegeex4-all-9b
124,0,codegeex4-all-9b
125,1,codegeex4-all-9b
127,1,codegeex4-all-9b
129,0,codegeex4-all-9b
130,1,codegeex4-all-9b
133,1,codegeex4-all-9b
134,1,codegeex4-all-9b
135,0,codegeex4-all-9b
138,0,codegeex4-all-9b
139,1,codegeex4-all-9b
292,0,codegeex4-all-9b
293,0,codegeex4-all-9b
298,1,codegeex4-all-9b
299,0,codegeex4-all-9b
305,0,codegeex4-all-9b
306,0,codegeex4-all-9b
308,0,codegeex4-all-9b
313,1,codegeex4-all-9b
315,0,codegeex4-all-9b
317,1,codegeex4-all-9b
318,0,codegeex4-all-9b
319,0,codegeex4-all-9b
320,1,codegeex4-all-9b
322,0,codegeex4-all-9b
323,0,codegeex4-all-9b
326,1,codegeex4-all-9b
447,0,codegeex4-all-9b
450,0,codegeex4-all-9b
528,1,codegeex4-all-9b
529,1,codegeex4-all-9b
530,0,codegeex4-all-9b
532,0,codegeex4-all-9b
533,0,codegeex4-all-9b
534,0,codegeex4-all-9b
535,1,codegeex4-all-9b
536,1,codegeex4-all-9b
537,1,codegeex4-all-9b
540,1,codegeex4-all-9b
541,1,codegeex4-all-9b
542,0,codegeex4-all-9b
543,0,codegeex4-all-9b
544,0,codegeex4-all-9b
545,0,codegeex4-all-9b
559,0,codegeex4-all-9b
560,1,codegeex4-all-9b
140,1,codegeex4-all-9b
142,0,codegeex4-all-9b
143,0,codegeex4-all-9b
144,0,codegeex4-all-9b
145,1,codegeex4-all-9b
146,1,codegeex4-all-9b
150,1,codegeex4-all-9b
151,0,codegeex4-all-9b
153,1,codegeex4-all-9b
154,1,codegeex4-all-9b
155,1,codegeex4-all-9b
156,0,codegeex4-all-9b
157,0,codegeex4-all-9b
158,0,codegeex4-all-9b
159,0,codegeex4-all-9b
160,1,codegeex4-all-9b
161,1,codegeex4-all-9b
162,0,codegeex4-all-9b
165,1,codegeex4-all-9b
166,0,codegeex4-all-9b
167,0,codegeex4-all-9b
168,1,codegeex4-all-9b
169,0,codegeex4-all-9b
331,0,codegeex4-all-9b
334,1,codegeex4-all-9b
341,0,codegeex4-all-9b
342,1,codegeex4-all-9b
565,0,codegeex4-all-9b
566,1,codegeex4-all-9b
567,1,codegeex4-all-9b
569,0,codegeex4-all-9b
571,1,codegeex4-all-9b
575,0,codegeex4-all-9b
576,0,codegeex4-all-9b
577,0,codegeex4-all-9b
578,0,codegeex4-all-9b
581,1,codegeex4-all-9b
582,1,codegeex4-all-9b
583,1,codegeex4-all-9b
584,0,codegeex4-all-9b
585,0,codegeex4-all-9b
586,1,codegeex4-all-9b
170,1,codegeex4-all-9b
173,0,codegeex4-all-9b
174,1,codegeex4-all-9b
176,1,codegeex4-all-9b
177,0,codegeex4-all-9b
178,1,codegeex4-all-9b
179,1,codegeex4-all-9b
180,1,codegeex4-all-9b
181,0,codegeex4-all-9b
182,0,codegeex4-all-9b
348,0,codegeex4-all-9b
349,0,codegeex4-all-9b
350,0,codegeex4-all-9b
351,0,codegeex4-all-9b
352,1,codegeex4-all-9b
609,1,codegeex4-all-9b
611,0,codegeex4-all-9b
612,0,codegeex4-all-9b
614,1,codegeex4-all-9b
615,1,codegeex4-all-9b
616,1,codegeex4-all-9b
617,1,codegeex4-all-9b
625,1,codegeex4-all-9b
626,1,codegeex4-all-9b
628,1,codegeex4-all-9b
630,1,codegeex4-all-9b
631,1,codegeex4-all-9b
632,1,codegeex4-all-9b
633,1,codegeex4-all-9b
183,1,codegeex4-all-9b
184,1,codegeex4-all-9b
187,0,codegeex4-all-9b
188,0,codegeex4-all-9b
189,0,codegeex4-all-9b
190,0,codegeex4-all-9b
191,1,codegeex4-all-9b
192,1,codegeex4-all-9b
193,1,codegeex4-all-9b
195,1,codegeex4-all-9b
196,1,codegeex4-all-9b
197,1,codegeex4-all-9b
198,1,codegeex4-all-9b
200,1,codegeex4-all-9b
202,1,codegeex4-all-9b
203,1,codegeex4-all-9b
204,0,codegeex4-all-9b
205,1,codegeex4-all-9b
206,1,codegeex4-all-9b
207,0,codegeex4-all-9b
209,1,codegeex4-all-9b
210,0,codegeex4-all-9b
354,1,codegeex4-all-9b
355,1,codegeex4-all-9b
356,0,codegeex4-all-9b
357,0,codegeex4-all-9b
358,1,codegeex4-all-9b
359,1,codegeex4-all-9b
360,1,codegeex4-all-9b
361,0,codegeex4-all-9b
365,0,codegeex4-all-9b
481,1,codegeex4-all-9b
589,0,codegeex4-all-9b
590,1,codegeex4-all-9b
592,1,codegeex4-all-9b
594,0,codegeex4-all-9b
595,0,codegeex4-all-9b
597,1,codegeex4-all-9b
598,1,codegeex4-all-9b
599,1,codegeex4-all-9b
601,1,codegeex4-all-9b
603,0,codegeex4-all-9b
604,0,codegeex4-all-9b
605,1,codegeex4-all-9b
606,0,codegeex4-all-9b
