task_id,result_retunr_code,model_name
231,1,CodeLlama-7b-instruct-hf
232,1,CodeLlama-7b-instruct-hf
233,0,CodeLlama-7b-instruct-hf
234,1,CodeLlama-7b-instruct-hf
235,1,CodeLlama-7b-instruct-hf
240,1,CodeLlama-7b-instruct-hf
241,1,CodeLlama-7b-instruct-hf
242,0,CodeLlama-7b-instruct-hf
248,1,CodeLlama-7b-instruct-hf
249,1,CodeLlama-7b-instruct-hf
250,1,CodeLlama-7b-instruct-hf
253,1,CodeLlama-7b-instruct-hf
255,1,CodeLlama-7b-instruct-hf
256,1,CodeLlama-7b-instruct-hf
258,1,CodeLlama-7b-instruct-hf
259,0,CodeLlama-7b-instruct-hf
260,1,CodeLlama-7b-instruct-hf
262,1,CodeLlama-7b-instruct-hf
263,0,CodeLlama-7b-instruct-hf
264,1,CodeLlama-7b-instruct-hf
266,1,CodeLlama-7b-instruct-hf
267,0,CodeLlama-7b-instruct-hf
268,0,CodeLlama-7b-instruct-hf
269,0,CodeLlama-7b-instruct-hf
281,0,CodeLlama-7b-instruct-hf
282,1,CodeLlama-7b-instruct-hf
286,1,CodeLlama-7b-instruct-hf
291,1,CodeLlama-7b-instruct-hf
366,1,CodeLlama-7b-instruct-hf
369,1,CodeLlama-7b-instruct-hf
370,1,CodeLlama-7b-instruct-hf
380,1,CodeLlama-7b-instruct-hf
381,1,CodeLlama-7b-instruct-hf
390,1,CodeLlama-7b-instruct-hf
392,0,CodeLlama-7b-instruct-hf
395,1,CodeLlama-7b-instruct-hf
396,0,CodeLlama-7b-instruct-hf
401,0,CodeLlama-7b-instruct-hf
404,1,CodeLlama-7b-instruct-hf
405,0,CodeLlama-7b-instruct-hf
406,1,CodeLlama-7b-instruct-hf
410,1,CodeLlama-7b-instruct-hf
413,1,CodeLlama-7b-instruct-hf
414,1,CodeLlama-7b-instruct-hf
420,1,CodeLlama-7b-instruct-hf
423,1,CodeLlama-7b-instruct-hf
424,1,CodeLlama-7b-instruct-hf
427,1,CodeLlama-7b-instruct-hf
430,0,CodeLlama-7b-instruct-hf
431,0,CodeLlama-7b-instruct-hf
442,0,CodeLlama-7b-instruct-hf
443,1,CodeLlama-7b-instruct-hf
444,1,CodeLlama-7b-instruct-hf
445,1,CodeLlama-7b-instruct-hf
451,1,CodeLlama-7b-instruct-hf
460,0,CodeLlama-7b-instruct-hf
462,1,CodeLlama-7b-instruct-hf
465,1,CodeLlama-7b-instruct-hf
468,1,CodeLlama-7b-instruct-hf
470,1,CodeLlama-7b-instruct-hf
471,1,CodeLlama-7b-instruct-hf
474,1,CodeLlama-7b-instruct-hf
475,1,CodeLlama-7b-instruct-hf
476,1,CodeLlama-7b-instruct-hf
482,1,CodeLlama-7b-instruct-hf
483,0,CodeLlama-7b-instruct-hf
485,1,CodeLlama-7b-instruct-hf
486,1,CodeLlama-7b-instruct-hf
487,0,CodeLlama-7b-instruct-hf
488,1,CodeLlama-7b-instruct-hf
490,1,CodeLlama-7b-instruct-hf
492,1,CodeLlama-7b-instruct-hf
493,1,CodeLlama-7b-instruct-hf
494,1,CodeLlama-7b-instruct-hf
495,1,CodeLlama-7b-instruct-hf
496,0,CodeLlama-7b-instruct-hf
498,1,CodeLlama-7b-instruct-hf
499,1,CodeLlama-7b-instruct-hf
500,1,CodeLlama-7b-instruct-hf
501,0,CodeLlama-7b-instruct-hf
505,1,CodeLlama-7b-instruct-hf
506,1,CodeLlama-7b-instruct-hf
507,0,CodeLlama-7b-instruct-hf
509,1,CodeLlama-7b-instruct-hf
510,0,CodeLlama-7b-instruct-hf
511,0,CodeLlama-7b-instruct-hf
512,1,CodeLlama-7b-instruct-hf
513,0,CodeLlama-7b-instruct-hf
514,0,CodeLlama-7b-instruct-hf
515,1,CodeLlama-7b-instruct-hf
516,1,CodeLlama-7b-instruct-hf
517,1,CodeLlama-7b-instruct-hf
518,1,CodeLlama-7b-instruct-hf
519,0,CodeLlama-7b-instruct-hf
520,0,CodeLlama-7b-instruct-hf
521,1,CodeLlama-7b-instruct-hf
522,1,CodeLlama-7b-instruct-hf
523,1,CodeLlama-7b-instruct-hf
524,1,CodeLlama-7b-instruct-hf
525,1,CodeLlama-7b-instruct-hf
526,0,CodeLlama-7b-instruct-hf
527,1,CodeLlama-7b-instruct-hf
546,1,CodeLlama-7b-instruct-hf
547,1,CodeLlama-7b-instruct-hf
551,1,CodeLlama-7b-instruct-hf
552,0,CodeLlama-7b-instruct-hf
555,1,CodeLlama-7b-instruct-hf
557,1,CodeLlama-7b-instruct-hf
558,0,CodeLlama-7b-instruct-hf
87,1,CodeLlama-7b-instruct-hf
88,1,CodeLlama-7b-instruct-hf
89,1,CodeLlama-7b-instruct-hf
92,1,CodeLlama-7b-instruct-hf
93,1,CodeLlama-7b-instruct-hf
95,0,CodeLlama-7b-instruct-hf
96,1,CodeLlama-7b-instruct-hf
97,1,CodeLlama-7b-instruct-hf
99,0,CodeLlama-7b-instruct-hf
100,0,CodeLlama-7b-instruct-hf
101,0,CodeLlama-7b-instruct-hf
103,1,CodeLlama-7b-instruct-hf
104,0,CodeLlama-7b-instruct-hf
106,1,CodeLlama-7b-instruct-hf
107,1,CodeLlama-7b-instruct-hf
108,0,CodeLlama-7b-instruct-hf
109,0,CodeLlama-7b-instruct-hf
110,1,CodeLlama-7b-instruct-hf
111,1,CodeLlama-7b-instruct-hf
112,1,CodeLlama-7b-instruct-hf
113,1,CodeLlama-7b-instruct-hf
114,1,CodeLlama-7b-instruct-hf
115,0,CodeLlama-7b-instruct-hf
116,0,CodeLlama-7b-instruct-hf
117,0,CodeLlama-7b-instruct-hf
118,0,CodeLlama-7b-instruct-hf
119,0,CodeLlama-7b-instruct-hf
120,0,CodeLlama-7b-instruct-hf
121,0,CodeLlama-7b-instruct-hf
122,1,CodeLlama-7b-instruct-hf
123,1,CodeLlama-7b-instruct-hf
124,0,CodeLlama-7b-instruct-hf
125,1,CodeLlama-7b-instruct-hf
127,1,CodeLlama-7b-instruct-hf
129,1,CodeLlama-7b-instruct-hf
130,1,CodeLlama-7b-instruct-hf
131,1,CodeLlama-7b-instruct-hf
132,1,CodeLlama-7b-instruct-hf
133,0,CodeLlama-7b-instruct-hf
134,1,CodeLlama-7b-instruct-hf
135,0,CodeLlama-7b-instruct-hf
137,0,CodeLlama-7b-instruct-hf
138,0,CodeLlama-7b-instruct-hf
139,1,CodeLlama-7b-instruct-hf
292,1,CodeLlama-7b-instruct-hf
293,1,CodeLlama-7b-instruct-hf
298,1,CodeLlama-7b-instruct-hf
299,0,CodeLlama-7b-instruct-hf
300,0,CodeLlama-7b-instruct-hf
305,0,CodeLlama-7b-instruct-hf
306,1,CodeLlama-7b-instruct-hf
308,0,CodeLlama-7b-instruct-hf
313,1,CodeLlama-7b-instruct-hf
315,0,CodeLlama-7b-instruct-hf
317,0,CodeLlama-7b-instruct-hf
318,0,CodeLlama-7b-instruct-hf
319,0,CodeLlama-7b-instruct-hf
320,0,CodeLlama-7b-instruct-hf
322,0,CodeLlama-7b-instruct-hf
323,0,CodeLlama-7b-instruct-hf
326,0,CodeLlama-7b-instruct-hf
447,0,CodeLlama-7b-instruct-hf
449,1,CodeLlama-7b-instruct-hf
450,0,CodeLlama-7b-instruct-hf
528,1,CodeLlama-7b-instruct-hf
529,1,CodeLlama-7b-instruct-hf
530,0,CodeLlama-7b-instruct-hf
532,0,CodeLlama-7b-instruct-hf
533,0,CodeLlama-7b-instruct-hf
534,0,CodeLlama-7b-instruct-hf
535,1,CodeLlama-7b-instruct-hf
536,1,CodeLlama-7b-instruct-hf
537,0,CodeLlama-7b-instruct-hf
538,1,CodeLlama-7b-instruct-hf
540,0,CodeLlama-7b-instruct-hf
541,0,CodeLlama-7b-instruct-hf
542,1,CodeLlama-7b-instruct-hf
543,0,CodeLlama-7b-instruct-hf
544,0,CodeLlama-7b-instruct-hf
545,0,CodeLlama-7b-instruct-hf
559,0,CodeLlama-7b-instruct-hf
560,1,CodeLlama-7b-instruct-hf
140,1,CodeLlama-7b-instruct-hf
141,1,CodeLlama-7b-instruct-hf
142,1,CodeLlama-7b-instruct-hf
143,0,CodeLlama-7b-instruct-hf
144,1,CodeLlama-7b-instruct-hf
145,0,CodeLlama-7b-instruct-hf
146,1,CodeLlama-7b-instruct-hf
147,0,CodeLlama-7b-instruct-hf
148,1,CodeLlama-7b-instruct-hf
150,1,CodeLlama-7b-instruct-hf
152,1,CodeLlama-7b-instruct-hf
153,1,CodeLlama-7b-instruct-hf
154,1,CodeLlama-7b-instruct-hf
155,1,CodeLlama-7b-instruct-hf
156,0,CodeLlama-7b-instruct-hf
157,1,CodeLlama-7b-instruct-hf
158,0,CodeLlama-7b-instruct-hf
159,0,CodeLlama-7b-instruct-hf
160,1,CodeLlama-7b-instruct-hf
161,1,CodeLlama-7b-instruct-hf
162,1,CodeLlama-7b-instruct-hf
163,1,CodeLlama-7b-instruct-hf
164,1,CodeLlama-7b-instruct-hf
165,1,CodeLlama-7b-instruct-hf
166,1,CodeLlama-7b-instruct-hf
167,0,CodeLlama-7b-instruct-hf
168,1,CodeLlama-7b-instruct-hf
169,0,CodeLlama-7b-instruct-hf
331,0,CodeLlama-7b-instruct-hf
334,1,CodeLlama-7b-instruct-hf
341,1,CodeLlama-7b-instruct-hf
342,1,CodeLlama-7b-instruct-hf
343,1,CodeLlama-7b-instruct-hf
565,0,CodeLlama-7b-instruct-hf
566,0,CodeLlama-7b-instruct-hf
567,0,CodeLlama-7b-instruct-hf
569,1,CodeLlama-7b-instruct-hf
570,1,CodeLlama-7b-instruct-hf
571,1,CodeLlama-7b-instruct-hf
572,1,CodeLlama-7b-instruct-hf
575,0,CodeLlama-7b-instruct-hf
576,0,CodeLlama-7b-instruct-hf
577,0,CodeLlama-7b-instruct-hf
578,0,CodeLlama-7b-instruct-hf
581,1,CodeLlama-7b-instruct-hf
582,0,CodeLlama-7b-instruct-hf
583,0,CodeLlama-7b-instruct-hf
584,0,CodeLlama-7b-instruct-hf
585,0,CodeLlama-7b-instruct-hf
586,1,CodeLlama-7b-instruct-hf
170,1,CodeLlama-7b-instruct-hf
173,1,CodeLlama-7b-instruct-hf
174,1,CodeLlama-7b-instruct-hf
176,1,CodeLlama-7b-instruct-hf
177,0,CodeLlama-7b-instruct-hf
178,0,CodeLlama-7b-instruct-hf
179,1,CodeLlama-7b-instruct-hf
180,1,CodeLlama-7b-instruct-hf
181,1,CodeLlama-7b-instruct-hf
348,0,CodeLlama-7b-instruct-hf
349,1,CodeLlama-7b-instruct-hf
350,0,CodeLlama-7b-instruct-hf
352,1,CodeLlama-7b-instruct-hf
609,0,CodeLlama-7b-instruct-hf
611,0,CodeLlama-7b-instruct-hf
612,1,CodeLlama-7b-instruct-hf
614,0,CodeLlama-7b-instruct-hf
615,0,CodeLlama-7b-instruct-hf
616,1,CodeLlama-7b-instruct-hf
625,1,CodeLlama-7b-instruct-hf
626,1,CodeLlama-7b-instruct-hf
628,1,CodeLlama-7b-instruct-hf
630,0,CodeLlama-7b-instruct-hf
631,1,CodeLlama-7b-instruct-hf
632,1,CodeLlama-7b-instruct-hf
633,1,CodeLlama-7b-instruct-hf
183,0,CodeLlama-7b-instruct-hf
184,1,CodeLlama-7b-instruct-hf
187,0,CodeLlama-7b-instruct-hf
188,0,CodeLlama-7b-instruct-hf
189,0,CodeLlama-7b-instruct-hf
190,1,CodeLlama-7b-instruct-hf
191,1,CodeLlama-7b-instruct-hf
196,1,CodeLlama-7b-instruct-hf
197,1,CodeLlama-7b-instruct-hf
198,1,CodeLlama-7b-instruct-hf
200,1,CodeLlama-7b-instruct-hf
202,1,CodeLlama-7b-instruct-hf
203,1,CodeLlama-7b-instruct-hf
204,1,CodeLlama-7b-instruct-hf
205,0,CodeLlama-7b-instruct-hf
206,1,CodeLlama-7b-instruct-hf
207,0,CodeLlama-7b-instruct-hf
209,0,CodeLlama-7b-instruct-hf
210,0,CodeLlama-7b-instruct-hf
354,0,CodeLlama-7b-instruct-hf
355,0,CodeLlama-7b-instruct-hf
356,0,CodeLlama-7b-instruct-hf
357,0,CodeLlama-7b-instruct-hf
358,1,CodeLlama-7b-instruct-hf
365,0,CodeLlama-7b-instruct-hf
481,1,CodeLlama-7b-instruct-hf
589,0,CodeLlama-7b-instruct-hf
590,1,CodeLlama-7b-instruct-hf
592,1,CodeLlama-7b-instruct-hf
594,0,CodeLlama-7b-instruct-hf
595,1,CodeLlama-7b-instruct-hf
597,1,CodeLlama-7b-instruct-hf
598,0,CodeLlama-7b-instruct-hf
599,0,CodeLlama-7b-instruct-hf
601,0,CodeLlama-7b-instruct-hf
603,0,CodeLlama-7b-instruct-hf
604,0,CodeLlama-7b-instruct-hf
605,1,CodeLlama-7b-instruct-hf
606,0,CodeLlama-7b-instruct-hf
