task_id,result_return_code,model
595,1,Phi-3-small-8k-instruct
518,0,Phi-3-small-8k-instruct
89,1,Phi-3-small-8k-instruct
242,1,Phi-3-small-8k-instruct
326,1,Phi-3-small-8k-instruct
197,1,Phi-3-small-8k-instruct
120,1,Phi-3-small-8k-instruct
153,1,Phi-3-small-8k-instruct
533,1,Phi-3-small-8k-instruct
471,1,Phi-3-small-8k-instruct
606,1,Phi-3-small-8k-instruct
342,1,Phi-3-small-8k-instruct
250,1,Phi-3-small-8k-instruct
123,1,Phi-3-small-8k-instruct
215,1,Phi-3-small-8k-instruct
144,1,Phi-3-small-8k-instruct
527,1,Phi-3-small-8k-instruct
180,1,Phi-3-small-8k-instruct
248,1,Phi-3-small-8k-instruct
604,1,Phi-3-small-8k-instruct
552,1,Phi-3-small-8k-instruct
67,1,Phi-3-small-8k-instruct
73,1,Phi-3-small-8k-instruct
354,1,Phi-3-small-8k-instruct
35,1,Phi-3-small-8k-instruct
526,1,Phi-3-small-8k-instruct
566,1,Phi-3-small-8k-instruct
72,1,Phi-3-small-8k-instruct
281,0,Phi-3-small-8k-instruct
43,1,Phi-3-small-8k-instruct
256,1,Phi-3-small-8k-instruct
107,1,Phi-3-small-8k-instruct
630,1,Phi-3-small-8k-instruct
103,1,Phi-3-small-8k-instruct
76,1,Phi-3-small-8k-instruct
122,1,Phi-3-small-8k-instruct
520,1,Phi-3-small-8k-instruct
65,1,Phi-3-small-8k-instruct
512,1,Phi-3-small-8k-instruct
524,1,Phi-3-small-8k-instruct
133,1,Phi-3-small-8k-instruct
161,1,Phi-3-small-8k-instruct
37,1,Phi-3-small-8k-instruct
592,1,Phi-3-small-8k-instruct
167,1,Phi-3-small-8k-instruct
355,1,Phi-3-small-8k-instruct
609,1,Phi-3-small-8k-instruct
614,1,Phi-3-small-8k-instruct
423,1,Phi-3-small-8k-instruct
490,1,Phi-3-small-8k-instruct
514,1,Phi-3-small-8k-instruct
493,1,Phi-3-small-8k-instruct
469,1,Phi-3-small-8k-instruct
110,1,Phi-3-small-8k-instruct
495,1,Phi-3-small-8k-instruct
22,1,Phi-3-small-8k-instruct
169,1,Phi-3-small-8k-instruct
567,1,Phi-3-small-8k-instruct
230,1,Phi-3-small-8k-instruct
517,1,Phi-3-small-8k-instruct
266,1,Phi-3-small-8k-instruct
551,1,Phi-3-small-8k-instruct
516,1,Phi-3-small-8k-instruct
583,0,Phi-3-small-8k-instruct
510,1,Phi-3-small-8k-instruct
528,1,Phi-3-small-8k-instruct
200,1,Phi-3-small-8k-instruct
525,1,Phi-3-small-8k-instruct
605,1,Phi-3-small-8k-instruct
537,1,Phi-3-small-8k-instruct
78,1,Phi-3-small-8k-instruct
9,1,Phi-3-small-8k-instruct
97,1,Phi-3-small-8k-instruct
352,1,Phi-3-small-8k-instruct
119,1,Phi-3-small-8k-instruct
597,1,Phi-3-small-8k-instruct
547,1,Phi-3-small-8k-instruct
331,1,Phi-3-small-8k-instruct
589,1,Phi-3-small-8k-instruct
127,1,Phi-3-small-8k-instruct
151,1,Phi-3-small-8k-instruct
442,1,Phi-3-small-8k-instruct
162,1,Phi-3-small-8k-instruct
615,1,Phi-3-small-8k-instruct
109,1,Phi-3-small-8k-instruct
54,1,Phi-3-small-8k-instruct
468,1,Phi-3-small-8k-instruct
395,1,Phi-3-small-8k-instruct
148,1,Phi-3-small-8k-instruct
474,1,Phi-3-small-8k-instruct
268,1,Phi-3-small-8k-instruct
202,1,Phi-3-small-8k-instruct
462,0,Phi-3-small-8k-instruct
207,1,Phi-3-small-8k-instruct
181,1,Phi-3-small-8k-instruct
594,0,Phi-3-small-8k-instruct
52,1,Phi-3-small-8k-instruct
17,1,Phi-3-small-8k-instruct
137,1,Phi-3-small-8k-instruct
306,1,Phi-3-small-8k-instruct
189,0,Phi-3-small-8k-instruct
138,1,Phi-3-small-8k-instruct
178,1,Phi-3-small-8k-instruct
86,1,Phi-3-small-8k-instruct
147,1,Phi-3-small-8k-instruct
521,1,Phi-3-small-8k-instruct
96,1,Phi-3-small-8k-instruct
177,0,Phi-3-small-8k-instruct
166,1,Phi-3-small-8k-instruct
74,1,Phi-3-small-8k-instruct
590,1,Phi-3-small-8k-instruct
118,1,Phi-3-small-8k-instruct
150,1,Phi-3-small-8k-instruct
84,1,Phi-3-small-8k-instruct
545,1,Phi-3-small-8k-instruct
532,1,Phi-3-small-8k-instruct
540,1,Phi-3-small-8k-instruct
68,1,Phi-3-small-8k-instruct
357,0,Phi-3-small-8k-instruct
492,1,Phi-3-small-8k-instruct
318,1,Phi-3-small-8k-instruct
530,1,Phi-3-small-8k-instruct
444,1,Phi-3-small-8k-instruct
628,1,Phi-3-small-8k-instruct
226,1,Phi-3-small-8k-instruct
106,1,Phi-3-small-8k-instruct
21,1,Phi-3-small-8k-instruct
380,1,Phi-3-small-8k-instruct
494,1,Phi-3-small-8k-instruct
77,1,Phi-3-small-8k-instruct
232,1,Phi-3-small-8k-instruct
124,0,Phi-3-small-8k-instruct
611,0,Phi-3-small-8k-instruct
292,1,Phi-3-small-8k-instruct
145,1,Phi-3-small-8k-instruct
535,1,Phi-3-small-8k-instruct
198,1,Phi-3-small-8k-instruct
87,1,Phi-3-small-8k-instruct
341,1,Phi-3-small-8k-instruct
544,0,Phi-3-small-8k-instruct
298,1,Phi-3-small-8k-instruct
165,1,Phi-3-small-8k-instruct
93,1,Phi-3-small-8k-instruct
569,1,Phi-3-small-8k-instruct
560,1,Phi-3-small-8k-instruct
152,1,Phi-3-small-8k-instruct
56,1,Phi-3-small-8k-instruct
308,1,Phi-3-small-8k-instruct
499,1,Phi-3-small-8k-instruct
576,1,Phi-3-small-8k-instruct
401,1,Phi-3-small-8k-instruct
80,1,Phi-3-small-8k-instruct
546,1,Phi-3-small-8k-instruct
356,0,Phi-3-small-8k-instruct
112,1,Phi-3-small-8k-instruct
163,1,Phi-3-small-8k-instruct
159,0,Phi-3-small-8k-instruct
555,1,Phi-3-small-8k-instruct
603,1,Phi-3-small-8k-instruct
143,1,Phi-3-small-8k-instruct
205,0,Phi-3-small-8k-instruct
358,1,Phi-3-small-8k-instruct
134,1,Phi-3-small-8k-instruct
381,1,Phi-3-small-8k-instruct
616,1,Phi-3-small-8k-instruct
253,1,Phi-3-small-8k-instruct
142,1,Phi-3-small-8k-instruct
507,1,Phi-3-small-8k-instruct
578,1,Phi-3-small-8k-instruct
282,1,Phi-3-small-8k-instruct
320,1,Phi-3-small-8k-instruct
349,1,Phi-3-small-8k-instruct
206,1,Phi-3-small-8k-instruct
536,1,Phi-3-small-8k-instruct
449,0,Phi-3-small-8k-instruct
83,1,Phi-3-small-8k-instruct
41,1,Phi-3-small-8k-instruct
486,1,Phi-3-small-8k-instruct
203,1,Phi-3-small-8k-instruct
45,1,Phi-3-small-8k-instruct
405,1,Phi-3-small-8k-instruct
240,1,Phi-3-small-8k-instruct
249,1,Phi-3-small-8k-instruct
233,1,Phi-3-small-8k-instruct
156,1,Phi-3-small-8k-instruct
632,1,Phi-3-small-8k-instruct
323,1,Phi-3-small-8k-instruct
557,1,Phi-3-small-8k-instruct
581,1,Phi-3-small-8k-instruct
164,1,Phi-3-small-8k-instruct
115,1,Phi-3-small-8k-instruct
431,1,Phi-3-small-8k-instruct
286,1,Phi-3-small-8k-instruct
447,1,Phi-3-small-8k-instruct
334,1,Phi-3-small-8k-instruct
317,1,Phi-3-small-8k-instruct
506,1,Phi-3-small-8k-instruct
498,0,Phi-3-small-8k-instruct
487,1,Phi-3-small-8k-instruct
575,1,Phi-3-small-8k-instruct
190,1,Phi-3-small-8k-instruct
158,0,Phi-3-small-8k-instruct
130,1,Phi-3-small-8k-instruct
396,0,Phi-3-small-8k-instruct
168,1,Phi-3-small-8k-instruct
348,1,Phi-3-small-8k-instruct
483,1,Phi-3-small-8k-instruct
26,1,Phi-3-small-8k-instruct
299,1,Phi-3-small-8k-instruct
59,1,Phi-3-small-8k-instruct
322,1,Phi-3-small-8k-instruct
141,1,Phi-3-small-8k-instruct
42,1,Phi-3-small-8k-instruct
571,1,Phi-3-small-8k-instruct
542,1,Phi-3-small-8k-instruct
350,1,Phi-3-small-8k-instruct
315,0,Phi-3-small-8k-instruct
20,1,Phi-3-small-8k-instruct
31,1,Phi-3-small-8k-instruct
522,1,Phi-3-small-8k-instruct
319,0,Phi-3-small-8k-instruct
121,1,Phi-3-small-8k-instruct
390,1,Phi-3-small-8k-instruct
204,1,Phi-3-small-8k-instruct
534,0,Phi-3-small-8k-instruct
450,1,Phi-3-small-8k-instruct
558,1,Phi-3-small-8k-instruct
8,1,Phi-3-small-8k-instruct
229,1,Phi-3-small-8k-instruct
135,1,Phi-3-small-8k-instruct
224,1,Phi-3-small-8k-instruct
160,1,Phi-3-small-8k-instruct
601,0,Phi-3-small-8k-instruct
570,1,Phi-3-small-8k-instruct
370,1,Phi-3-small-8k-instruct
586,1,Phi-3-small-8k-instruct
443,1,Phi-3-small-8k-instruct
519,1,Phi-3-small-8k-instruct
191,1,Phi-3-small-8k-instruct
500,1,Phi-3-small-8k-instruct
582,0,Phi-3-small-8k-instruct
482,1,Phi-3-small-8k-instruct
196,1,Phi-3-small-8k-instruct
210,1,Phi-3-small-8k-instruct
406,1,Phi-3-small-8k-instruct
267,1,Phi-3-small-8k-instruct
117,1,Phi-3-small-8k-instruct
559,0,Phi-3-small-8k-instruct
155,1,Phi-3-small-8k-instruct
543,1,Phi-3-small-8k-instruct
19,1,Phi-3-small-8k-instruct
513,1,Phi-3-small-8k-instruct
81,0,Phi-3-small-8k-instruct
585,1,Phi-3-small-8k-instruct
392,0,Phi-3-small-8k-instruct
6,1,Phi-3-small-8k-instruct
259,1,Phi-3-small-8k-instruct
146,1,Phi-3-small-8k-instruct
79,1,Phi-3-small-8k-instruct
92,0,Phi-3-small-8k-instruct
496,1,Phi-3-small-8k-instruct
269,1,Phi-3-small-8k-instruct
157,1,Phi-3-small-8k-instruct
515,1,Phi-3-small-8k-instruct
188,1,Phi-3-small-8k-instruct
584,0,Phi-3-small-8k-instruct
235,1,Phi-3-small-8k-instruct
501,0,Phi-3-small-8k-instruct
55,1,Phi-3-small-8k-instruct
365,1,Phi-3-small-8k-instruct
577,1,Phi-3-small-8k-instruct
18,1,Phi-3-small-8k-instruct
101,1,Phi-3-small-8k-instruct
99,0,Phi-3-small-8k-instruct
1,1,Phi-3-small-8k-instruct
505,1,Phi-3-small-8k-instruct
129,1,Phi-3-small-8k-instruct
511,1,Phi-3-small-8k-instruct
509,1,Phi-3-small-8k-instruct
386,1,Phi-3-small-8k-instruct
100,1,Phi-3-small-8k-instruct
88,1,Phi-3-small-8k-instruct
227,1,Phi-3-small-8k-instruct
